Institution,ZIP,Cost,
Ferris State University,49307-2251,23651,
Ferrum College,24088-9000,50715,
Finger Lakes Community College,14424-8395,19503,
Finlandia University,49930-1832,36726,
Fisher College,02116,53436,
Fisk University,37208-4501,37954,
Fitchburg State University,01420-2697,25160,
Five Towns College,11746-5871,42310,
Flagler College-St Augustine,32084,36260,
Flathead Valley Community College,59901,19781,
Florida Agricultural and Mechanical University,32307,23433,
Florida Atlantic University,33431-0991,25459,
Florida College,33617,30490,
Florida Gateway College,32025-2007,11767,
Florida Gulf Coast University,33965-6565,20390,
Florida Institute of Technology,32901-6975,60150,
Florida International University,33199,23865,
Florida Memorial University,33054-6199,30512,
Florida Polytechnic University,33805-8531,21611,
Florida Southern College,33801-5698,53600,
Florida SouthWestern State College,33919,18171,
Florida State College at Jacksonville,32202,14589,
Florida State University,32306-1037,22446,
Fond du Lac Tribal and Community College,55720-2342,17581,
Fontbonne University,63105-3098,43190,
Fordham University,10458,76891,
Fort Hays State University,67601-4099,18736,
Fort Lewis College,81301-3999,25374,
Fort Scott Community College,66701,15007,
Fort Valley State University,31030-4313,20644,
Framingham State University,01701-9101,27284,
Francis Marion University,29506,24244,
Franciscan University of Steubenville,43952-1763,40630,
Frank Phillips College,79008-5118,13087,
Franklin and Marshall College,17604-3003,75720,
Franklin College,46131-2623,47414,
Franklin Pierce University,03461-0060,56500,
Franklin University,43215-5399,25459,
Franklin W Olin College of Engineering,02492-1200,74286,
Freed-Hardeman University,38340-2399,35950,
Fresno Pacific University,93702-4709,47196,
Friends University,67213,42874,
Frostburg State University,21532-1099,24650,
Fulton-Montgomery Community College,12095-3790,21600,
Furman University,29613-6162,66626,
Gadsden State Community College,35903,11413,
Gallaudet University,20002-3695,39166,
Galveston College,77550-7496,13958,
Gannon University,16541-0001,50488,
Garden City Community College,67846-6333,15190,
Gardner-Webb University,28017-0997,46850,
Garrett College,21541,21726,
Genesee Community College,14020,16790,
Geneva College,15010-3599,40970,
George C Wallace State Community College-Hanceville,35077-2000,15460,
George Fox University,97132,51930,
George Mason University,22030-4444,29166,
George Washington University,20052,74160,
Georgetown College,40324-1696,53518,
Georgetown University,20057-0001,76280,
Georgia College & State University,31061,28851,
Georgia Gwinnett College,30043,25332,
Georgia Institute of Technology-Main Campus,30332-0530,29632,
Georgia Military College,31061,18321,
Georgia Southern University,30460-8126,23497,
Georgia Southwestern State University,31709-4693,19928,
Georgia State University,30303-3083,29725,
Georgian Court University,08701-2697,52760,
Gettysburg College,17325,71850,
Glen Oaks Community College,49032-9719,17518,
Glenville State College,26351-1292,23388,
Gods Bible School and College,45202-6838,16150,
Gogebic Community College,49938,17653,
Goldey-Beacom College,19808,40800,
Gonzaga University,99258-0001,62250,
Goodwin College,06118,33970,
Gordon College,01984,52100,
Gordon State College,30204,17116,
Goshen College,46526-4794,48890,
Goucher College,21204-2794,64050,
Governors State University,60484,23251,
Grace Christian University,49509,25082,
Grace College and Theological Seminary,46590-1274,37578,
Graceland University-Lamoni,50140,43824,
Graham Hospital School of Nursing,61520-2497,21725,
Grambling State University,71245,24703,
Grand Canyon University,85017,32100,
Grand Valley State University,49401-9403,25040,
Grand View University,50316,43946,
Grayson College,75020-8299,14295,
Great Basin College,89801,14818,
Great Lakes Christian College,48917-1299,27742,
Greensboro College,27401-1875,32100,
Greenville University,62246,41322,
Grinnell College,50112-1690,70746,
Grove City College,16127-2104,30380,
Guilford College,27410-4108,53100,
Gustavus Adolphus College,56082-1498,59270,
Gwynedd Mercy University,19437-0901,51510,
Hamilton College,13323,72390,
Hamline University,55104-1284,55256,
Hampden-Sydney College,23943-0128,63602,
Hampshire College,01002-5001,68088,
Hampton University,23668-0099,44291,
Hannibal-LaGrange University,63401,35898,
Hanover College,47243,53400,
Harcum College,19010-3470,39495,
Hardin-Simmons University,79698-0001,43346,
Harding University,72149-5615,31911,
Harris-Stowe State University,63103-2136,21674,
Harrisburg University of Science and Technology,17101-2208,35550,
Hartwick College,13820-4020,61160,
Harvard University,02138,73800,
Harvey Mudd College,91711,79539,
Haskell Indian Nations University,66046-4800,8650,
Hastings College,68901,45420,
Haverford College,19041-1392,76384,
Hawaii Community College,96720-5096,16084,
Hawaii Pacific University,96813,49640,
Hebrew Theological College,60077,33194,
Heidelberg University,44883-2462,45400,
Hellenic College-Holy Cross Greek Orthodox School of Theology,02445-7415,41282,
Henderson State University,71999-0001,25100,
Hendrix College,72032-3080,64060,
Heritage Christian University,35630-9977,21463,
Herkimer County Community College,13350-1598,18390,
Hesston College,67062-2093,41230,
Hibbing Community College,55746,16852,
High Point University,27268,54720,
Highland Community College,66035-4165,13524,
Highlands College of Montana Tech,59701,18940,
Highline College,98198-9800,18491,
Hilbert College,14075-1597,35950,
Hill College,76645,12857,
Hillsborough Community College,33606-3584,16666,
Hillsdale College,49242,42958,
Hinds Community College,39154,11850,
Hiram College,44234-0067,51167,
Hobart William Smith Colleges,14456,74375,
Hobe Sound Bible College,33455-1065,16720,
Hocking College,45764,18734,
Hofstra University,11549,66260,
Hollins University,24020,56940,
Holmes Community College,39079,12860,
Holy Apostles College and Seminary,06416-2005,23270,
Holy Cross College,46556-0308,46150,
Holy Family College,54220-9319,46054,
Holy Family University,19114-2009,47584,
Holy Names University,94619-1699,59385,
Hood College,21701,58450,
Hope College,49422-9000,48680,
Hope International University,92831-3199,49237,
Houghton College,14744,46876,
Houston Baptist University,77074-3298,47076,
Howard College,79720,14986,
Howard Payne University,76801-2794,41899,
Howard University,20059-0001,45971,
Hult International Business School,02141-1805,65750,
Humboldt State University,95521-8299,25344,
Huntingdon College,36106-2148,38685,
Huntington University,46750,38974,
Husson University,04401-2929,32313,
Huston-Tillotson University,78702-2795,24414,
Hutchinson Community College,67501,14974,
Idaho State University,83209,22247,
Ilisagvik College,99723,21080,
Illinois College,62650-2299,44614,
Illinois Institute of Technology,60616,68262,
Illinois State University,61790-1000,31124,
Illinois Wesleyan University,61702-2900,63840,
Immaculata University,19345,45870,
Independence Community College,67301-0708,14218,
Indian Hills Community College,52501,13998,
Indiana Institute of Technology,46803-1228,41976,
Indiana State University,47809,23616,
Indiana University of Pennsylvania-Main Campus,15705-1098,29150,
Indiana University-Bloomington,47405-7000,25657,
Indiana University-Purdue University-Indianapolis,46202-5143,23305,
Indiana University-South Bend,46615-7111,20277,
Indiana University-Southeast,47150,21519,
Indiana Wesleyan University-Marion,46953-4974,39532,
Institute of American Indian and Alaska Native Culture and Arts Development,87508-1300,22144,
International Baptist College and Seminary,85286,26174,
International Business College-Fort Wayne,46804-7145,24786,
International Business College-Indianapolis,46256-3954,26112,
Iona College,10801-1890,59258,
Iowa Central Community College,50501,17015,
Iowa Lakes Community College,51334-2295,17494,
