instnm,ZIP code,Cost of Attendance,Computer Science,Education,Chemical Engineering,Mechanical Engineering,Electrical and Computer Engineering,English Language and Literature,Biology,Mathematics and Statistics,Philosophy,Religion/Religious Studies,Psychology,Dance,Business/Commerce,History
McKendree University,62254-1291,45110,9,28,,,,8,23,15,1,0,39,,,5
McNeese State University,70605,22256,37,49,0,16,,9,30,8,,,38,,,9
Mercer University,31207,53822,16,93,,,,21,70,5,6,3,61,,29,9
Meredith College,27607-5298,52670,7,4,,,,16,38,12,,1,42,8,,6
Messiah University,17055,50380,15,76,,0,,18,21,4,3,,29,5,,7
Methodist University,28311-1420,56908,4,11,,,,3,5,3,,1,9,,,4
Michigan Technological University,49931-1295,30542,70,,90,282,,4,21,19,,,12,,,0
MidAmerica Nazarene University,66062-1899,48766,1,32,,,,0,5,2,,4,14,,,0
Middle Tennessee State University,37132,23518,73,139,,,,63,138,14,7,6,243,9,48,46
Middlebury College,5753,74248,51,0,,,,21,16,26,5,7,30,1,,27
Minnesota State University Moorhead,56563,23000,16,159,,,,10,36,5,2,,56,,,3
Mississippi College,39058,35312,7,60,,,,18,65,8,,11,41,,,12
Missouri State University-Springfield,65897,21859,60,424,,,,73,121,19,6,16,229,,91,24
Monmouth College,61462-1998,51270,6,12,,,,8,8,0,0,,14,,,9
Montana State University,59717,22813,92,116,102,162,,53,99,46,8,,113,,,31
Montana Technological University,59701-8997,22808,4,,,34,,4,8,4,,,,,15,
Moravian College,18018-6650,63064,10,0,,,,13,20,5,4,0,40,,,7
Mount Holyoke College,01075-1489,69578,39,17,,,,40,44,21,6,5,47,5,,19
Mount Mercy University,52402-4797,48877,13,27,,,,4,11,2,0,1,22,,45,2
Muhlenberg College,18104,69816,13,6,,,,18,31,14,3,2,46,13,,10
Murray State University,42071-3318,23694,18,146,,,,21,49,14,,,44,,79,19
Muskingum University,43762,43208,4,24,,,,4,10,6,,,10,,2,20
New Jersey Institute of Technology,7102,38574,6,,71,195,,8,96,30,,,,,,7
New Mexico Institute of Mining and Technology,87801,22930,43,,20,77,,3,21,11,,,2,,,
North American University,77477-0000,23600,26,9,,,,,,,,,,,,
North Carolina A & T State University,27411,18487,37,66,19,67,,24,66,14,,,98,,,10
North Carolina State University at Raleigh,27695-7001,24259,232,146,132,288,,101,336,154,14,7,234,,,74
North Central College,60540,54326,23,45,,,,19,15,8,4,0,82,,,18
North Central University,55404-1391,37644,4,23,,,,3,0,1,,,3,,,
North Dakota State University-Main Campus,58108-6050,23032,84,69,,140,,17,123,25,4,,103,,,18
Northeastern Illinois University,60625-4699,30689,120,67,,,,46,85,22,2,,108,,30,29
